languages	waseda-01	uzh-02	uzh-01	ua-08	ua-07	ua-06	ua-05	ua-04	ua-03	ua-02	ua-01	tuebingen-oslo-03	tuebingen-oslo-02	tuebingen-oslo-01	racai-01	msu-04	msu-03	msu-02	msu-01	kucst-01	iitbhu-iiith-02	iitbhu-iiith-01	iit-varanasi-01	hamburg-01	bme-03	bme-02	bme-01	baseline	axsemantics-02	axsemantics-01
turkish	26.7	38.1	39	22.6	22.5	11.8	27.5	2.7	12.2	27.5	13.3	0	0	0	0	9.7	4.4	17.5	0	0.1	39.5	37.5	10.7	13.9	0	0	0	13.2	3.8	0
turkmen	50	90	86	60	60	68	86	64	72	78	34	0	28	0	0	62	44	86	0	2	80	78	64	64	2	2	2	34	64	0
ukrainian	46.6	48.9	49.4	56.5	30.4	57.1	47.7	9.3	47.5	36.5	38.7	0	0	0	0	26	22	43.3	0	1.4	38.1	30.7	9	30	0	0	0	38.7	13.4	0
urdu	58.9	72.5	71.9	50.7	47.7	33.9	66.5	37.8	44.9	61.9	32.7	0.2	4.7	0	0	49.1	44.4	32	0	3.9	69.6	65.9	32.6	62.5	8.4	1.6	8.4	32.7	0	0
uzbek	63	90	92	85	83	43	77	90	46	0	52	20	26	0	0	67	19	54	0	0	91	90	82	69	7	5	7	52	41	0
venetian	71.8	78.8	78.4	76.8	59.9	76.4	73.8	26.3	71.5	71.5	71.8	0	4.1	0	0	66	59	70.9	0	2.1	75.9	74.1	31.1	67.5	0	0	0	71.8	23.2	0
votic	17	26	26	32	34	29	21	22	19	13	17	0	3	0	0	11	12	18	0	1	26	23	20	14	2	1	2	17	6	0
welsh	42	55	55	50	28	51	48	14	43	51	30	0	0	0	0	17	20	27	0	1	50	45	11	32	0	0	0	30	0	0
west-frisian	50	53	56	46	31	47	51	27	40	43	50	3	18	0	0	29	39	47	0	6	51	48	26	33	1	3	8	50	22	0
yiddish	78	82	83	87	55	82	82	26	78	72	78	0	0	0	0	55	67	80	0	0	71	68	33	79	0	0	0	78	41	0
zulu	31	32.1	33	29.3	0	29.3	20.1	0	20.1	1.3	0	0	0	0	0	2.4	1	17.9	0	0.3	29.8	27.7	1.1	15.5	0	0	0	0.1	0.2	0
dutch	53.7	55.2	56	68.9	44.2	69.3	56	12.1	55.3	49.8	50.8	0	0.1	0	0	40.7	34.6	47.5	0	0	58.6	57.6	8.9	43	0	0	0	50.8	19.8	0
english	80.8	90.3	90.3	91.8	42.7	91.8	89.8	42.7	89.9	87.6	77.6	0	0.2	0	0	75.3	74.1	81.6	0	0	86.5	81.3	61.8	90.4	0	0	0	77.6	45.5	0
french	58.9	66.6	65.2	60.8	50.7	58.9	59	9	55.6	56.6	58.9	0	0	0	0	43.6	41.3	54.9	0	0	55	53.1	13.4	51.8	0	0	0	59	16.3	0
