languages	waseda-01	uzh-02	uzh-01	ua-08	ua-07	ua-06	ua-05	ua-04	ua-03	ua-02	ua-01	tuebingen-oslo-03	tuebingen-oslo-02	tuebingen-oslo-01	racai-01	msu-04	msu-03	msu-02	msu-01	kucst-01	iitbhu-iiith-02	iitbhu-iiith-01	iit-varanasi-01	hamburg-01	bme-03	bme-02	bme-01	baseline	axsemantics-02	axsemantics-01
west-frisian	96	98	97	0	0	0	0	0	0	0	0	48	53	28	0	90	74	73	60	76	89	86	94	91	91	92	91	65	67	0
yiddish	91	94	92	0	0	0	0	0	0	0	0	56	63	39	0	85	89	89	80	62	89	89	88	92	80	84	79	87	78	0
zulu	82.8	87.3	87.2	0	0	0	0	0	0	0	0	1.2	1.5	0.8	0	70.4	68.4	71.6	67.4	15.8	85.2	82.8	52.6	81.8	60	54	60	0.1	1.7	0
dutch	77.1	85.6	85.7	0	0	0	0	0	0	0	0	16.3	25.6	14.3	0	80.4	84	65.9	73.9	0	82	81.9	71	77.8	66.4	66.1	66.4	72.4	61.2	0
english	91.5	94.2	94.5	0	0	0	0	0	0	0	0	29.3	28.1	26.1	0	92.7	94.4	86.4	92.6	0	94.2	93.5	90.9	90.2	90.4	89.6	90.4	90.5	89	0
french	73.1	80.9	80.2	0	0	0	0	0	0	0	0	14.5	29.8	22.3	0	75.7	76.5	73.9	74.6	0	78.6	78.2	69.3	71.8	73.4	74.6	73.4	73.2	66.9	0
german	74	79.5	80.1	0	0	0	0	0	0	0	0	12.1	14.1	11.9	0	74.1	74.4	68	73.5	0	76.8	76.7	65.5	70.9	67.5	66	67.5	71.7	67.6	0
kannada	93	94	94	0	0	0	0	0	0	0	0	20	19	20	0	87	87	64	59	0	92	91	85	86	74	78	73	55	81	0
middle-low-german	72	98	98	0	0	0	0	0	0	0	0	58	60	36	0	94	82	68	0	0	98	100	92	96	86	98	86	38	30	76
north-frisian	87	89	91	0	0	0	0	0	0	0	0	14	20	3	0	78	70	49	42	0	88	89	85	75	72	69	72	33	29	0
old-english	56.3	65	65.6	0	0	0	0	0	0	0	0	23.6	24	10.7	0	52.9	58.3	33.5	46.1	0	62.7	60.3	42.4	45.7	35.3	37.3	37.7	27.8	18	0
polish	75.9	82.4	82.2	0	0	0	0	0	0	0	0	9.5	7.5	9.6	0	72.3	74.5	74.1	62.6	0	76.1	73.4	55.1	75.1	49.7	49.4	49.7	73.5	60.8	0
russian	79.5	86.8	86.9	0	0	0	0	0	0	0	0	8.5	1.8	9.6	0	76.4	76.2	72.2	66.7	0	80.1	78.2	59.9	77.3	51.7	51.8	51.7	76.4	56.7	0
average	77.38333333	86.37647059	86.64313725	0	0	0	0	0	0	0	0	30.97941176	29.72156863	20.97254902	0	76.39803922	75.73627451	69.44901961	54.44215686	29.11862745	84.18529412	82.89509804	70.17352941	74.02843137	67.35784314	67.25882353	67.43039216	61.7754902	60.00392157	9.098039216
